0.502,0.498,0.5,0.5,0.502,0.498,0.5,0.502,
0.5,0.502,0.5,0.5,0.5,0.5,0.5,0.5,
0.502,0.5,0.498,0.5,0.5,0.5,0.502,0.5,
0.502,0.5,0.5,0.502,0.5,0.5,0.5,0.502,

0.502,0.496,0.502,0.5,0.504,0.496,0.5,0.502,
0.502,0.502,0.5,0.5,0.5,0.5,0.502,0.5,
0.502,0.5,0.496,0.5,0.5,0.5,0.502,0.5,
0.502,0.5,0.5,0.502,0.5,0.502,0.5,0.504,

0.504,0.494,0.504,0.502,0.504,0.496,0.502,0.502,
0.502,0.502,0.5,0.5,0.498,0.5,0.504,0.498,
0.504,0.5,0.496,0.498,0.5,0.498,0.504,0.5,
0.504,0.5,0.5,0.504,0.502,0.504,0.498,0.504,

0.504,0.492,0.504,0.504,0.504,0.494,0.504,0.502,
0.504,0.504,0.5,0.498,0.496,0.502,0.506,0.498,
0.506,0.5,0.496,0.498,0.5,0.498,0.506,0.498,
0.506,0.5,0.5,0.506,0.502,0.504,0.498,0.506,

0.506,0.492,0.506,0.504,0.504,0.492,0.504,0.504,
0.504,0.504,0.5,0.496,0.494,0.502,0.506,0.498,
0.508,0.502,0.496,0.498,0.502,0.498,0.508,0.498,
0.508,0.502,0.5,0.506,0.504,0.506,0.496,0.508,

0.506,0.492,0.506,0.504,0.504,0.492,0.506,0.504,
0.504,0.504,0.502,0.496,0.492,0.504,0.508,0.496,
0.51,0.504,0.496,0.496,0.504,0.496,0.51,0.498,
0.51,0.504,0.5,0.506,0.504,0.508,0.494,0.508,

0.508,0.492,0.506,0.504,0.506,0.492,0.508,0.504,
0.504,0.506,0.502,0.494,0.49,0.506,0.51,0.494,
0.512,0.504,0.494,0.496,0.506,0.494,0.51,0.498,
0.512,0.504,0.5,0.508,0.504,0.51,0.492,0.508,

0.51,0.492,0.508,0.506,0.508,0.49,0.508,0.504,
0.506,0.506,0.504,0.492,0.488,0.506,0.512,0.492,
0.514,0.504,0.494,0.494,0.506,0.494,0.51,0.496,
0.514,0.504,0.502,0.51,0.504,0.51,0.49,0.508,

0.51,0.49,0.51,0.508,0.508,0.488,0.51,0.504,
0.506,0.508,0.504,0.49,0.488,0.508,0.514,0.492,
0.516,0.504,0.494,0.492,0.506,0.494,0.51,0.496,
0.516,0.504,0.504,0.51,0.506,0.512,0.49,0.51,

0.512,0.488,0.51,0.508,0.51,0.486,0.51,0.506,
0.506,0.508,0.506,0.488,0.488,0.508,0.514,0.49,
0.518,0.504,0.492,0.492,0.508,0.492,0.51,0.496,
0.518,0.504,0.504,0.512,0.508,0.514,0.49,0.512,

0.512,0.488,0.51,0.508,0.512,0.484,0.512,0.506,
0.508,0.51,0.506,0.486,0.486,0.51,0.516,0.49,
0.518,0.504,0.49,0.492,0.508,0.492,0.51,0.496,
0.518,0.504,0.504,0.512,0.508,0.516,0.49,0.514,

0.514,0.488,0.512,0.51,0.514,0.482,0.512,0.508,
0.51,0.51,0.506,0.486,0.486,0.51,0.516,0.49,
0.518,0.504,0.488,0.492,0.508,0.49,0.51,0.496,
0.518,0.504,0.504,0.512,0.508,0.518,0.49,0.516,

0.516,0.486,0.512,0.51,0.516,0.48,0.514,0.508,
0.51,0.512,0.508,0.486,0.486,0.512,0.516,0.49,
0.52,0.504,0.488,0.49,0.508,0.488,0.512,0.494,
0.52,0.504,0.504,0.514,0.51,0.52,0.49,0.516,

0.518,0.484,0.512,0.51,0.516,0.478,0.516,0.508,
0.51,0.512,0.51,0.484,0.484,0.512,0.516,0.49,
0.522,0.504,0.488,0.488,0.51,0.486,0.514,0.492,
0.522,0.504,0.504,0.516,0.51,0.52,0.488,0.516,

0.52,0.484,0.514,0.512,0.516,0.478,0.516,0.508,
0.51,0.514,0.51,0.484,0.484,0.514,0.516,0.488,
0.522,0.504,0.486,0.488,0.51,0.484,0.516,0.49,
0.522,0.504,0.504,0.516,0.51,0.522,0.488,0.518,

0.522,0.482,0.516,0.512,0.516,0.476,0.518,0.508,
0.51,0.514,0.51,0.482,0.484,0.516,0.518,0.486,
0.524,0.504,0.486,0.486,0.512,0.482,0.516,0.488,
0.524,0.504,0.506,0.516,0.51,0.522,0.486,0.52,

0.522,0.48,0.516,0.512,0.516,0.474,0.518,0.508,
0.512,0.514,0.51,0.48,0.482,0.516,0.52,0.486,
0.526,0.506,0.486,0.484,0.512,0.48,0.516,0.488,
0.526,0.506,0.508,0.518,0.512,0.522,0.484,0.52,

0.524,0.48,0.518,0.514,0.518,0.474,0.518,0.508,
0.512,0.514,0.512,0.48,0.482,0.516,0.522,0.484,
0.528,0.506,0.486,0.482,0.514,0.478,0.516,0.486,
0.528,0.506,0.51,0.518,0.514,0.524,0.482,0.52,

0.526,0.48,0.52,0.516,0.52,0.472,0.52,0.508,
0.512,0.514,0.514,0.48,0.48,0.516,0.524,0.484,
0.53,0.506,0.484,0.482,0.516,0.476,0.518,0.484,
0.53,0.506,0.51,0.52,0.514,0.524,0.482,0.52,

0.528,0.478,0.522,0.516,0.52,0.47,0.522,0.508,
0.512,0.516,0.514,0.48,0.478,0.516,0.524,0.482,
0.53,0.506,0.482,0.482,0.516,0.476,0.518,0.484,
0.53,0.506,0.51,0.52,0.514,0.524,0.482,0.52,

0.53,0.478,0.522,0.518,0.52,0.47,0.522,0.508,
0.512,0.516,0.514,0.478,0.476,0.516,0.524,0.48,
0.532,0.506,0.482,0.48,0.518,0.474,0.518,0.482,
0.532,0.506,0.51,0.522,0.514,0.524,0.48,0.522,

0.53,0.478,0.524,0.518,0.52,0.468,0.524,0.51,
0.514,0.516,0.516,0.478,0.476,0.518,0.526,0.478,
0.532,0.506,0.48,0.48,0.518,0.472,0.518,0.482,
0.532,0.506,0.51,0.522,0.514,0.524,0.48,0.524,

0.53,0.476,0.526,0.518,0.52,0.466,0.526,0.51,
0.516,0.516,0.518,0.476,0.474,0.52,0.526,0.476,
0.532,0.506,0.478,0.48,0.518,0.472,0.518,0.482,
0.532,0.506,0.51,0.522,0.514,0.526,0.478,0.524,

0.532,0.474,0.526,0.52,0.52,0.464,0.526,0.51,
0.516,0.518,0.52,0.476,0.474,0.52,0.528,0.476,
0.532,0.506,0.476,0.48,0.518,0.472,0.518,0.482,
0.532,0.506,0.51,0.522,0.514,0.526,0.478,0.524,

0.534,0.474,0.528,0.52,0.52,0.462,0.526,0.51,
0.518,0.52,0.522,0.476,0.474,0.522,0.528,0.474,
0.534,0.506,0.476,0.478,0.518,0.47,0.52,0.48,
0.534,0.506,0.512,0.524,0.514,0.526,0.476,0.526,

0.534,0.474,0.53,0.522,0.52,0.46,0.528,0.51,
0.52,0.522,0.522,0.476,0.472,0.522,0.528,0.472,
0.536,0.508,0.476,0.476,0.52,0.47,0.52,0.478,
0.536,0.508,0.512,0.524,0.514,0.526,0.476,0.528,

0.536,0.474,0.532,0.522,0.52,0.458,0.528,0.51,
0.52,0.522,0.524,0.474,0.472,0.522,0.528,0.47,
0.536,0.508,0.474,0.474,0.52,0.47,0.52,0.476,
0.536,0.508,0.512,0.524,0.514,0.526,0.476,0.528,

0.538,0.472,0.532,0.524,0.52,0.458,0.53,0.512,
0.522,0.524,0.524,0.474,0.472,0.524,0.53,0.468,
0.536,0.508,0.472,0.474,0.52,0.47,0.52,0.476,
0.536,0.508,0.512,0.524,0.514,0.528,0.474,0.528,

0.538,0.47,0.532,0.524,0.52,0.458,0.532,0.514,
0.522,0.526,0.526,0.472,0.472,0.526,0.53,0.466,
0.538,0.51,0.47,0.474,0.522,0.468,0.52,0.474,
0.538,0.51,0.512,0.526,0.514,0.528,0.474,0.528,

0.54,0.468,0.534,0.524,0.522,0.458,0.532,0.514,
0.522,0.526,0.528,0.472,0.47,0.528,0.532,0.464,
0.538,0.51,0.468,0.474,0.522,0.466,0.52,0.474,
0.538,0.51,0.512,0.526,0.516,0.53,0.472,0.53,

31
Best
69
26
54
3
1058539,999999
Best
0,1,0,0,0,1,0,0,
0,0,0,1,1,0,0,1,
0,0,1,1,0,1,0,1,
0,0,0,0,0,0,1,0,

0.542,0.468,0.534,0.526,0.522,0.456,0.534,0.514,
0.522,0.528,0.53,0.472,0.47,0.53,0.534,0.464,
0.54,0.512,0.468,0.472,0.522,0.464,0.52,0.474,
0.54,0.512,0.512,0.526,0.516,0.532,0.47,0.53,
